PlayerID,PlayerName,FantasyTeam,Status,InjuryStatus,Positions,ProTeam,ProjectedPoints,2024_TotalPoints,2024_AvgPoints,PercentOwned,PercentStarted,PercentChange
3953687,Brandon Aubrey,Free Agent,FREEAGENT,ACTIVE,"K, Bench, IR",DAL,143.31060961,190.0,11.176470588235293,97.19072302677283,92.72430930369262,0.30660887607322707
4683062,Xavier Worthy,Free Agent,FREEAGENT,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",KC,204.35552743,158.2,9.305882352941177,96.94782310160728,74.27325785070695,0.3285840047931856
4432708,Marvin Harrison Jr.,Free Agent,FREEAGENT,ACTIVE,"RB/WR, WR, WR/TE, Flex, OP, Bench, IR",ARI,198.72579188,166.0,9.764705882352942,96.90965428695041,74.85755122988508,0.3154603539642693
3139477,Patrick Mahomes,Free Agent,FREEAGENT,ACTIVE,"QB, OP, Bench, IR",KC,306.20610615,264.52,16.5325,96.86175631532528,82.4040580797764,0.599982043726456
3150744,Chase McLaughlin,Free Agent,FREEAGENT,ACTIVE,"K, Bench, IR",TB,147.31731847,162.0,9.529411764705882,96.64458461215088,92.77722656757946,0.4360928378295341
4241416,Chuba Hubbard,Free Agent,FREEAGENT,ACTIVE,"RB, RB/WR, Flex, OP, Bench, IR",CAR,233.19111817,220.1,14.673333333333334,96.51899898230685,80.8206004915055,0.6160919303578538
4685382,Omarion Hampton,Free Agent,FREEAGENT,ACTIVE,"25, RB, RB/WR, Flex, OP, Bench, IR",LAC,238.64727774,,,96.24467503713461,78.53339312239007,0.926573103918443
4362081,Cameron Dicker,Free Agent,FREEAGENT,ACTIVE,"K, Bench, IR",LAC,144.72630854,176.0,10.352941176470589,96.15952574774354,90.16635523674314,0.3797582140847737
15847,Travis Kelce,Free Agent,FREEAGENT,ACTIVE,"WR/TE, TE, Flex, OP, Bench, IR",KC,139.98176699,147.4,9.2125,95.75918624021469,84.81294700646896,0.6087362964576641
4036133,T.J. Hockenson,,ONTEAM,ACTIVE,"WR/TE, TE, Flex, OP, Bench, IR",MIN,146.05075885,66.0,6.6,95.74537033793204,87.07268026429188,1.014182099395697
3045147,James Conner,Free Agent,FREEAGENT,ACTIVE,"RB, RB/WR, Flex, OP, Bench, IR",ARI,226.95708476,233.8,14.6125,95.52933963916624,78.46207742161499,0.6202385045121872
